NAME,AGE,YEAR,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
Vince Whaley,29,2020,"$207,571 ",106,15,38,6,1,0,70.7,300.9,58.4,66.7,1.761,29.4,3.868
Matt Every,40,2020,"$202,546 ",94,0,45,6,0,0,71.9,292.3,58,65.1,1.769,39.5,3.956
Shawn Stefani,42,2020,"$202,456 ",98,0,30,6,0,0,70.7,0,0,0,0,0,0
Chad Campbell,49,2020,"$196,875 ",73,9,19,1,1,0,71.1,0,0,0,0,0,0
Doug Ghim,27,2020,"$187,442 ",102,0,40,5,0,0,70.7,296,63.7,69.6,1.816,52.6,3.525
Francesco Molinari,41,2020,"$183,740 ",84,0,19,3,0,0,71.6,0,0,0,0,0,0
Rhein Gibson,38,2020,"$182,113 ",87,0,50,10,0,0,71.2,297.8,51.9,65.2,1.768,56.3,3.8
K.J. Choi,53,2020,"$180,439 ",61,0,25,3,0,0,71.9,0,0,0,0,0,0
Wesley Bryan,33,2020,"$178,877 ",94,0,16,4,0,0,68.4,0,0,0,0,0,0
Kevin Chappell,37,2020,"$176,506 ",75,0,41,7,0,0,70.9,300.6,56.5,65.2,1.748,47.6,3.854
Jonathan Byrd,46,2020,"$166,222 ",67,0,27,3,0,0,71.1,0,0,0,0,0,0
Chris Kirk,38,2020,"$162,468 ",80,0,33,5,0,0,70.1,0,0,0,0,0,0
Ryan Brehm,37,2020,"$162,079 ",75,0,50,9,0,0,70.9,315.3,48.8,68.8,1.819,49.3,3.74
Ricky Barnes,43,2020,"$158,741 ",77,0,32,5,0,0,70.9,0,0,0,0,0,0
S.Y. Noh,32,2020,"$157,008 ",62,0,20,2,0,0,71.3,0,0,0,0,0,0
Henrik Stenson,47,2020,"$155,111 ",69,0,18,2,0,0,55.2,0,0,0,0,0,0
Roberto Castro,38,2020,"$143,213 ",77,0,27,5,0,0,71.2,0,0,0,0,0,0
